id,VENTAS_MES_ANTERIOR,POTTOT,REMUNERACION_TOTAL,CYG,COD_DEPTO,CPAM,GRUPOS4,UBICA,IDRUT,REG_CONT,CAMCOMER,OLA
478012511,1300000,0.0,0.0,802000,76,0,4,1,1,4,0,2019
478015214,800000,0.0,109000.0,305000,5,1,4,3,0,4,0,2019
478018411,3500000,0.0,0.0,3050000,5,1,3,3,1,3,0,2019
478019916,2000000,1.0,898116.0,875880,5,1,4,1,1,1,1,2019
478020611,6800000,1.0,1076000.0,6836000,5,1,3,1,1,1,1,2019
478021411,1000000,0.0,0.0,1150000,5,1,3,3,0,4,0,2019
478022212,2300000,0.0,0.0,1760000,5,1,4,1,1,4,0,2019
478022711,2500000,0.0,0.0,1300000,5,1,3,3,1,4,1,2019
478023312,3000100,0.0,0.0,2585000,5,1,2,1,0,4,1,2019
478023412,70000,0.0,0.0,10000,5,1,4,3,0,4,0,2019
478028111,1800000,0.0,0.0,1410000,11,1,3,1,1,4,0,2019
478029511,600000,0.0,0.0,150000,13,1,2,3,0,4,0,2019
478031912,150000,0.0,0.0,24000,13,1,4,3,0,4,0,2019
478034012,2000000,0.0,0.0,718000,15,1,3,1,0,3,0,2019
478034211,1500000,0.0,0.0,1075000,15,1,3,1,0,4,0,2019
478036611,1000000,0.0,0.0,510000,15,1,3,1,1,4,0,2019
478036912,3800000,0.0,0.0,3148000,15,1,3,1,1,3,1,2019
478037111,2300000,0.0,236010.0,800000,15,1,2,3,1,3,1,2019
478038111,12000000,4.0,1500000.0,8400000,15,1,2,3,0,3,0,2019
478039511,1100000,0.0,0.0,97000,15,1,4,3,1,3,0,2019
478042811,823000,0.0,0.0,125000,15,1,3,1,0,4,0,2019
478042911,850000,0.0,0.0,850000,15,1,3,1,0,3,0,2019
478043812,1000000,0.0,0.0,930000,17,1,3,3,0,4,0,2019
478046311,3128000,1.0,236700.0,2490000,17,1,3,1,1,2,1,2019
478049611,7600000,0.0,0.0,7064000,17,1,3,1,1,3,1,2019
478054111,4000000,0.0,137000.0,3812000,17,1,3,3,1,3,1,2019
478054712,6000000,2.0,1440000.0,2590000,17,1,4,1,1,2,1,2019
478057911,27000000,4.0,4379032.0,23190000,18,1,3,1,1,1,1,2019
478058011,80000000,2.0,1899600.0,32730000,18,1,3,1,1,1,1,2019
478058112,3000000,1.0,0.0,2670000,18,1,3,1,0,4,1,2019
478058912,1500000,0.0,240500.0,0,18,1,4,1,1,4,0,2019
478059311,105000000,1.0,1549616.0,100770000,18,1,3,3,1,1,1,2019
478059511,600000,0.0,0.0,725000,18,1,3,1,1,2,1,2019
478060212,300000,0.0,0.0,143000,18,1,4,3,0,4,0,2019
478060311,2000000,3.0,2400000.0,570000,18,1,3,1,0,4,0,2019
478060411,9800000,4.0,3550000.0,9416000,19,1,3,1,1,4,1,2019
478060412,3500000,1.0,600000.0,3202000,19,1,4,1,1,4,1,2019
478060911,5460750,0.0,136800.0,4358055,19,1,3,3,1,2,1,2019
478061311,3180000,0.0,32000.0,1225000,19,1,3,3,1,3,1,2019
478062112,500000,0.0,0.0,400000,19,1,3,3,1,3,1,2019
478062212,1650000,1.0,0.0,1524000,19,1,3,1,1,3,1,2019
478063711,3215800,3.0,4378800.0,4123000,19,1,4,1,1,2,1,2019
478064512,300000,0.0,0.0,106000,19,1,3,3,0,4,0,2019
478065311,453589,0.0,0.0,578113,19,1,4,3,1,3,1,2019
478065411,866843,0.0,0.0,222852,19,1,2,3,0,4,0,2019
478067311,7000000,0.0,0.0,5025000,19,1,3,3,0,3,0,2019
478068114,2500000,5.0,1420000.0,1770000,19,1,4,1,1,2,1,2019
478069211,6000000,1.0,0.0,5191000,23,1,3,3,0,4,1,2019
478069312,500000,0.0,0.0,470000,23,1,4,3,0,3,0,2019
478070312,2700000,1.0,0.0,2575000,23,1,4,3,0,4,0,2019
478070512,450000,0.0,0.0,180000,23,1,4,3,0,4,0,2019
478072012,600000,0.0,0.0,260000,23,1,2,1,0,3,0,2019
478072311,60000000,5.0,6034080.0,16490000,23,1,3,1,1,1,1,2019
478072511,4000000,1.0,500000.0,3100000,23,1,3,1,1,3,1,2019
478074512,904000,1.0,0.0,887000,27,1,3,3,0,3,0,2019
478078312,1400000,2.0,1200000.0,1320000,41,1,4,1,1,3,1,2019
478079311,900000,1.0,300000.0,810000,41,1,2,1,0,4,0,2019
478080115,3000000,1.0,0.0,2550000,41,1,3,1,1,4,1,2019
478080112,2000000,0.0,0.0,1775000,41,1,3,1,1,3,1,2019
478084811,600000,0.0,0.0,280000,44,1,4,3,0,4,0,2019
478085212,20000,0.0,0.0,14800,44,1,2,3,0,4,0,2019
478085812,160000000,2.0,700000.0,17430000,44,1,3,1,0,3,0,2019
478086011,5700000,2.0,600000.0,4400000,44,1,3,1,1,4,0,2019
478086912,1300000,0.0,0.0,1750000,44,1,3,1,0,3,0,2019
478089911,5000000,3.0,2240000.0,2260000,47,1,3,1,1,2,1,2019
478090011,5000000,1.0,0.0,2850000,47,1,3,3,1,3,1,2019
478090315,60000,0.0,0.0,14000,47,1,2,1,0,4,0,2019
478090511,300000,0.0,49000.0,140000,47,1,2,3,0,4,0,2019
478093312,200000,0.0,0.0,50000,47,1,3,1,0,4,0,2019
478093411,2200000,0.0,0.0,640000,47,1,2,1,0,4,0,2019
478095311,8300000,0.0,0.0,5505000,47,1,3,3,0,4,0,2019
478096013,6000000,3.0,0.0,1960000,47,1,4,3,0,3,1,2019
478096913,10000000,2.0,2530000.0,8662000,50,1,3,1,1,2,1,2019
478099513,600000,0.0,0.0,50000,50,1,4,3,0,4,0,2019
478099511,5000000,0.0,236000.0,3822000,50,1,3,1,1,3,1,2019
478099611,2000000,0.0,0.0,1320000,50,1,3,1,0,4,0,2019
478099612,1500000,0.0,34000.0,980000,50,1,3,3,0,4,0,2019
478100211,15000000,1.0,800000.0,10180000,50,1,4,1,1,3,1,2019
478101711,4500000,3.0,2700000.0,4370000,50,1,4,1,0,3,1,2019
478102511,7000000,0.0,0.0,6250000,50,1,3,3,0,4,0,2019
478102512,1300000,0.0,0.0,1300000,50,1,4,1,0,4,0,2019
478102915,6800000,0.0,0.0,4520000,50,1,3,1,1,2,1,2019
478103611,800000,0.0,0.0,280000,50,1,4,3,0,4,0,2019
478103711,1500000,0.0,0.0,620000,50,1,4,3,0,3,1,2019
478103811,2500000,2.0,1656232.0,1700000,50,1,4,1,0,3,0,2019
478103911,4000000,0.0,0.0,3760000,50,1,3,3,1,3,1,2019
478104411,1600000,2.0,0.0,1235000,50,1,4,3,0,3,0,2019
478104911,1800000,1.0,0.0,1223000,50,1,3,1,1,3,1,2019
478105012,150000,0.0,0.0,70000,50,1,4,3,0,4,0,2019
478105712,70000000,2.0,3106155.0,8410000,50,1,3,1,1,3,1,2019
478106311,1500000,0.0,0.0,1140000,50,1,3,3,0,3,0,2019
478106411,2300000,0.0,0.0,2000000,50,1,3,1,1,3,1,2019
478108011,900000,0.0,0.0,50000,50,1,3,1,0,4,0,2019
478108111,3400000,1.0,0.0,3325000,50,1,4,3,0,3,0,2019
478108711,2500000,0.0,0.0,1961000,50,1,3,1,1,4,0,2019
478108811,800000,0.0,0.0,462000,50,1,3,1,0,4,0,2019
478110512,600000,0.0,0.0,390000,52,1,3,3,0,4,0,2019
478111911,450000,0.0,0.0,348000,52,1,3,3,0,4,0,2019
478112611,1000000,1.0,0.0,1426000,52,1,2,1,1,4,0,2019
478115712,800000,1.0,0.0,155000,54,1,4,3,0,3,0,2019
478115812,450000,0.0,0.0,306000,54,1,3,3,0,3,0,2019
478116912,600000,0.0,0.0,397000,54,1,3,1,0,4,0,2019
478117511,500000,0.0,0.0,300000,54,1,3,3,0,3,0,2019
478118013,7500000,1.0,0.0,5500000,54,1,3,3,0,3,0,2019
478118611,3000000,0.0,225000.0,3720000,54,1,3,1,0,3,0,2019
478118811,120000,0.0,0.0,102000,54,1,4,3,0,4,0,2019
478121411,7000000,1.0,1639000.0,3680000,63,1,4,1,1,3,1,2019
478125211,2450000,0.0,0.0,1751000,63,1,4,1,0,3,0,2019
478125311,5000000,0.0,236100.0,3030000,63,1,3,1,0,3,0,2019
478127211,900000,1.0,252500.0,1260000,63,1,3,1,0,3,0,2019
478127212,1000000,0.0,132500.0,150000,63,1,4,1,0,4,0,2019
478127613,5200000,1.0,1746144.0,1780000,63,1,4,1,1,1,0,2019
478128511,1000000,1.0,0.0,800000,63,1,3,1,0,3,0,2019
478129811,900000,0.0,103515.0,360000,63,1,4,3,1,3,0,2019
478130011,4500000,0.0,0.0,3410000,63,1,3,1,0,3,0,2019
478131811,200000,0.0,0.0,115000,66,1,2,3,1,4,0,2019
478135012,900000,0.0,236000.0,730000,66,1,3,3,1,3,1,2019
478136913,1200000,0.0,0.0,218000,66,1,3,3,1,4,1,2019
478138312,860000,0.0,0.0,340000,66,1,4,3,0,4,0,2019
478140312,300000,0.0,0.0,125000,66,1,4,3,0,4,0,2019
478140311,500000,0.0,0.0,122000,66,1,4,3,0,4,0,2019
478140511,2800000,1.0,0.0,2326000,66,1,4,1,1,4,1,2019
478141911,5000000,0.0,600000.0,360000,68,1,4,3,1,3,0,2019
478143111,1500000,0.0,0.0,1170000,68,1,3,1,0,3,0,2019
478143812,7000000,0.0,0.0,6120000,68,1,2,1,0,3,0,2019
478145111,3500000,0.0,0.0,1445000,68,1,3,1,0,4,0,2019
