id,VENTAS_MES_ANTERIOR,POTTOT,REMUNERACION_TOTAL,CYG,COD_DEPTO,CPAM,GRUPOS4,ANOS_ESPACIO,OLA,F_EXP
478085111,870000,0.0,0.0,550000,44,1,4,2,2019,10.383053327
478090612,1500000,0.0,0.0,1020000,47,1,4,5,2019,15.212993148
478090713,4200000,0.0,0.0,2560000,47,1,3,5,2019,13.934471619
478091911,650000,0.0,0.0,420000,47,1,4,4,2019,21.966317914
478097712,400000,0.0,0.0,0,50,1,4,4,2019,16.386924764
478102611,550000,0.0,47000.0,160000,50,1,4,1,2019,25.5136399
478103512,828116,0.0,0.0,10000,50,1,4,1,2019,30.291671436
478106512,240000,0.0,0.0,130000,50,1,4,2,2019,27.54206775
478107411,800000,2.0,0.0,460000,50,1,4,5,2019,17.321496972
478111111,1600000,0.0,0.0,1060000,52,1,3,5,2019,19.282779401
478118111,133000,0.0,0.0,40000,54,1,4,4,2019,30.285740404
478123211,1400000,0.0,0.0,700000,63,1,3,1,2019,17.748857776
478135414,160000,0.0,0.0,60000,66,1,3,4,2019,23.506307236
478135411,400000,0.0,0.0,300000,66,1,3,5,2019,23.506307236
478147412,600000,0.0,0.0,55000,68,1,4,5,2019,45.539235755
478150311,380000,1.0,0.0,326000,70,1,4,1,2019,9.3990020213
478158512,975000,0.0,0.0,530000,73,1,3,3,2019,32.131637551
478158511,350000,0.0,0.0,180000,73,1,3,2,2019,32.131637551
478159011,400000,0.0,0.0,330000,73,1,3,5,2019,53.198715341
478159012,900000,0.0,0.0,730000,73,1,3,5,2019,53.198715341
478165711,3000000,0.0,0.0,2138000,76,1,3,3,2019,102.59459004
478183512,300000,0.0,0.0,240000,5,1,2,5,2019,219.6373265
478189011,700000,0.0,0.0,351379,5,1,4,5,2019,115.11723424
478206412,560000,0.0,0.0,450000,8,1,4,3,2019,112.08558746
478207711,6000000,0.0,0.0,4031000,8,1,3,5,2019,44.239078269
478226312,400000,0.0,0.0,283000,11,1,4,3,2019,355.45139667
478252011,25500000,4.0,2400000.0,2120000,13,1,4,5,2019,41.626736368
478254211,300000,0.0,0.0,0,13,1,4,5,2019,21.996136457
478254712,1800000,1.0,450000.0,1000000,13,1,3,5,2019,56.818854592
478262411,1000000,0.0,0.0,498000,15,1,4,5,2019,12.017629477
478278712,170000,0.0,0.0,152500,18,1,3,4,2019,7.5139036947
478305014,400000,0.0,0.0,200000,20,1,4,1,2019,18.75674993
478311611,6650000,0.0,0.0,6300000,23,1,2,5,2019,18.007221406
478313415,375000,0.0,0.0,20000,23,1,4,5,2019,13.221552065
478341711,300000,0.0,50000.0,0,41,1,4,5,2019,14.497004271
478356312,500000,0.0,0.0,1310000,44,1,4,1,2019,8.1467844337
478359611,9150000,4.0,1800000.0,10068000,44,1,4,5,2019,2.8748549818
478359812,3000000,2.0,600000.0,2460000,44,1,4,3,2019,5.0545579252
478361811,55000,0.0,0.0,170000,44,1,3,2,2019,5.3796250918
